network_path,image_id,original_label,tmp_path,epsilon_value,smallest_sat_value,total_time,split,training
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,96,11, image_96,0,0.0507,293.5870154,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,1,19, image_1,0,0,70.78343749,test,pgd
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,98,13, image_98,0,0.039,240.9189205,test,fgsm
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,2,14, image_2,0,0,71.71266437,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,4,31, image_4,0,0,70.45759058,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,6,1, image_6,0,0,70.87498426,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,7,20, image_7,0,0,71.08554673,test,pgd
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,99,2, image_99,0,0.0585,329.5194547,test,fgsm
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,8,15, image_8,0,0,72.01257873,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,9,1, image_9,0,0,70.49982047,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,10,11, image_10,0,0,70.06648874,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,11,4, image_11,0,0,73.56411147,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,12,11, image_12,0,0,70.29375815,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,13,38, image_13,0,0,71.23578072,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,15,16, image_15,0,0,69.62308812,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,14,4, image_14,0,0,70.61800027,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,17,13, image_17,0,0,71.88262129,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,18,10, image_18,0,0,69.9320085,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,19,29, image_19,0,0,71.65339208,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,20,17, image_20,0,0,70.87535596,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,22,25, image_22,0,0,70.77006817,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,24,10, image_24,0,0,69.92929244,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,25,4, image_25,0,0,71.47842598,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,27,1, image_27,0,0,70.7163868,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,26,9, image_26,0,0,71.45496392,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,28,12, image_28,0,0,70.10232568,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,29,38, image_29,0,0,72.98310852,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,31,31, image_31,0,0,69.50170302,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,30,2, image_30,0,0,70.10604143,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,32,2, image_32,0,0,69.61508608,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,33,13, image_33,0,0,71.79033613,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,35,13, image_35,0,0,70.40966225,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,36,35, image_36,0,0,70.81398106,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,37,38, image_37,0,0,69.9276557,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,38,10, image_38,0,0,72.09650564,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,39,8, image_39,0,0,70.71568298,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,41,1, image_41,0,0,70.73117495,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,44,12, image_44,0,0,71.99697804,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,46,24, image_46,0,0,70.08614683,test,pgd
 gtsrb_cnn_vnncomp23_relu_pgd.onnx,45,22, image_45,0,0,71.17001581,test,pgd
