,epsilon_value,result,time,network,image,split
0,0.1989,SAT,9.095203638076782,gtsrb_7_1024_standard,image_95,test
1,0.0974999999999999,SAT,9.181888103485107,gtsrb_7_1024_standard,image_95,test
2,0.0467999999999999,SAT,8.006150722503662,gtsrb_7_1024_standard,image_95,test
3,0.0195,SAT,8.261354446411133,gtsrb_7_1024_standard,image_95,test
4,0.0078,UNSAT,9.88225245475769,gtsrb_7_1024_standard,image_95,test
5,0.0116999999999999,UNSAT,583.3563730716705,gtsrb_7_1024_standard,image_95,test
6,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_95,test
0,0.1989,SAT,9.324534177780151,gtsrb_7_1024_standard,image_71,test
1,0.0974999999999999,SAT,9.150789260864258,gtsrb_7_1024_standard,image_71,test
2,0.0467999999999999,SAT,8.382092475891113,gtsrb_7_1024_standard,image_71,test
3,0.0195,SAT,8.349578380584717,gtsrb_7_1024_standard,image_71,test
4,0.0078,UNSAT,10.096165418624878,gtsrb_7_1024_standard,image_71,test
5,0.0116999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_71,test
6,0.0156,SAT,8.545941829681396,gtsrb_7_1024_standard,image_71,test
0,0.1989,SAT,7.3928062915802,gtsrb_7_1024_standard,image_92,test
1,0.0974999999999999,SAT,7.456889152526855,gtsrb_7_1024_standard,image_92,test
2,0.0467999999999999,SAT,8.192361116409302,gtsrb_7_1024_standard,image_92,test
3,0.0195,SAT,7.679250001907349,gtsrb_7_1024_standard,image_92,test
4,0.0078,SAT,7.617699384689331,gtsrb_7_1024_standard,image_92,test
5,0.0,UNSAT,9.282519102096558,gtsrb_7_1024_standard,image_92,test
6,0.0039,SAT,7.2599756717681885,gtsrb_7_1024_standard,image_92,test
0,0.1989,SAT,9.143491744995115,gtsrb_7_1024_standard,image_98,test
1,0.0974999999999999,SAT,9.077967882156372,gtsrb_7_1024_standard,image_98,test
2,0.0467999999999999,SAT,8.486656904220581,gtsrb_7_1024_standard,image_98,test
3,0.0195,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_98,test
4,0.0233999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_98,test
5,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_98,test
6,0.0272999999999999,SAT,8.311660528182983,gtsrb_7_1024_standard,image_98,test
7,0.0039,UNSAT,10.01724886894226,gtsrb_7_1024_standard,image_98,test
8,0.0078,UNSAT,10.063180208206177,gtsrb_7_1024_standard,image_98,test
9,0.0116999999999999,UNSAT,119.11338210105896,gtsrb_7_1024_standard,image_98,test
0,0.1989,SAT,9.209572553634644,gtsrb_7_1024_standard,image_76,test
1,0.0974999999999999,SAT,9.088783740997314,gtsrb_7_1024_standard,image_76,test
2,0.0467999999999999,SAT,8.21094036102295,gtsrb_7_1024_standard,image_76,test
3,0.0195,SAT,8.361790180206299,gtsrb_7_1024_standard,image_76,test
4,0.0078,UNSAT,77.41104483604431,gtsrb_7_1024_standard,image_76,test
5,0.0116999999999999,SAT,8.421883821487427,gtsrb_7_1024_standard,image_76,test
0,0.1989,SAT,7.584942102432251,gtsrb_7_1024_standard,image_7,test
1,0.0974999999999999,SAT,8.935371398925781,gtsrb_7_1024_standard,image_7,test
2,0.0467999999999999,SAT,8.999523878097534,gtsrb_7_1024_standard,image_7,test
3,0.0195,SAT,8.294257402420044,gtsrb_7_1024_standard,image_7,test
4,0.0078,SAT,8.376134872436523,gtsrb_7_1024_standard,image_7,test
5,0.0,UNSAT,9.806387424468994,gtsrb_7_1024_standard,image_7,test
6,0.0039,UNSAT,9.9995436668396,gtsrb_7_1024_standard,image_7,test
0,0.1989,SAT,7.653878688812256,gtsrb_7_1024_standard,image_44,test
1,0.0974999999999999,SAT,8.485128402709961,gtsrb_7_1024_standard,image_44,test
2,0.0467999999999999,SAT,7.789934396743774,gtsrb_7_1024_standard,image_44,test
3,0.0195,SAT,8.011538028717041,gtsrb_7_1024_standard,image_44,test
4,0.0078,SAT,7.741401195526123,gtsrb_7_1024_standard,image_44,test
5,0.0,UNSAT,9.33921194076538,gtsrb_7_1024_standard,image_44,test
6,0.0039,UNSAT,9.27448797225952,gtsrb_7_1024_standard,image_44,test
0,0.1989,SAT,9.128528356552124,gtsrb_7_1024_standard,image_33,test
1,0.0974999999999999,SAT,8.455153465270996,gtsrb_7_1024_standard,image_33,test
2,0.0467999999999999,SAT,8.399869441986084,gtsrb_7_1024_standard,image_33,test
3,0.0195,SAT,8.279808044433594,gtsrb_7_1024_standard,image_33,test
4,0.0078,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_33,test
